"component","origin","license","copyright"
"@aws-cdk/asset-awscli-v1","@aws-cdk/asset-awscli-v1","['Apache-2.0']","[' Copyright (c) 2006-2016 Kirill Simonov', ' Copyright (c) 2008-2020 Andrey Petrov and contributors', ' Copyright (c) 2010 Jonathan Hartley', ' Copyright (c) 2010-2024 Benjamin Peterson', ' Copyright (c) 2013 Amazon.com', ' Copyright (c) 2016 Maxim Biro', ' Copyright (c) 2017-2021 Ingy', ' Copyright 2001-2020 David Goodger', ' Copyright 2003-2011 Gustavo Niemeyer <gustavo@niemeyer.net>', ' Copyright 2005-2013', ' Copyright 2012-2020 Amazon.com', ' Copyright 2012-2020 Kenneth Reitz - Requests GitHub (https://github.com/psf/requests)', ' Copyright 2017- Paul Ganssle <paul@ganssle.io>', ' Copyright Amazon.com', ' Dirk Jesse', ' Ilya Etingof <etingof@gmail.com>', ' Inc.', ' Inc. or its affiliates', 'Copyright (c) 2005-2020']"
"@aws-cdk/asset-node-proxy-agent-v6","@aws-cdk/asset-node-proxy-agent-v6","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright Amazon.com']"
"@aws-cdk/cloud-assembly-schema","@aws-cdk/cloud-assembly-schema","['Apache-2.0']","['Copyright 2018-2025 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-crypto/crc32","git+ssh://git@github.com/aws/aws-sdk-js-crypto-helpers.git","['Apache-2.0']","[' Copyright Amazon.com Inc. or its affiliates. All Rights Reserved.', 'Copyright Amazon.com Inc. or its affiliates']"
"@aws-crypto/crc32c","@aws-crypto/crc32c","['Apache-2.0']","[' Copyright Amazon.com Inc. or its affiliates. All Rights Reserved.', 'Copyright Amazon.com Inc. or its affiliates']"
"@aws-crypto/sha1-browser","@aws-crypto/sha1-browser","['Apache-2.0']","['Copyright 2018 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-crypto/sha256-browser","git+ssh://git@github.com/aws/aws-sdk-js-crypto-helpers.git","['Apache-2.0']","['AWS Crypto Tools Team']"
"@aws-crypto/sha256-js","git+ssh://git@github.com/aws/aws-sdk-js-crypto-helpers.git","['Apache-2.0']","['AWS Crypto Tools Team']"
"@aws-crypto/supports-web-crypto","git+ssh://git@github.com/aws/aws-sdk-js-crypto-helpers.git","['Apache-2.0']","['AWS Crypto Tools Team']"
"@aws-crypto/util","git+ssh://git@github.com/aws/aws-sdk-js-crypto-helpers.git","['Apache-2.0']","[' Copyright Amazon.com Inc. or its affiliates. All Rights Reserved.', 'Copyright Amazon.com Inc. or its affiliates']"
"@aws-sdk/client-cloudwatch-logs","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","['AWS SDK for JavaScript Team']"
"@aws-sdk/client-cognito-identity","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/client-lambda","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/client-resource-groups-tagging-api","@aws-sdk/client-resource-groups-tagging-api","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/client-s3","@aws-sdk/client-s3","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/client-secrets-manager","@aws-sdk/client-secrets-manager","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/client-sso","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/core","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","['AWS SDK for JavaScript Team']"
"@aws-sdk/credential-provider-cognito-identity","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/credential-provider-env","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/credential-provider-http","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","['AWS SDK for JavaScript Team']"
"@aws-sdk/credential-provider-ini","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/credential-provider-node","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/credential-provider-process","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2019 Amazon.com']"
"@aws-sdk/credential-provider-sso","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2019 Amazon.com']"
"@aws-sdk/credential-provider-web-identity","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2019 Amazon.com']"
"@aws-sdk/credential-providers","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/middleware-bucket-endpoint","@aws-sdk/middleware-bucket-endpoint","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/middleware-expect-continue","@aws-sdk/middleware-expect-continue","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/middleware-flexible-checksums","@aws-sdk/middleware-flexible-checksums","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/middleware-host-header","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2019 Amazon.com']"
"@aws-sdk/middleware-location-constraint","@aws-sdk/middleware-location-constraint","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/middleware-logger","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2020 Amazon.com']"
"@aws-sdk/middleware-recursion-detection","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2019 Amazon.com']"
"@aws-sdk/middleware-sdk-s3","@aws-sdk/middleware-sdk-s3","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/middleware-ssec","@aws-sdk/middleware-ssec","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/middleware-user-agent","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2019 Amazon.com']"
"@aws-sdk/nested-clients","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","['AWS SDK for JavaScript Team']"
"@aws-sdk/region-config-resolver","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/s3-request-presigner","@aws-sdk/s3-request-presigner","['Apache-2.0']","['Copyright 2019 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/signature-v4-multi-region","@aws-sdk/signature-v4-multi-region","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/token-providers","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/types","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/util-arn-parser","@aws-sdk/util-arn-parser","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/util-endpoints","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
"@aws-sdk/util-format-url","@aws-sdk/util-format-url","['Apache-2.0']","['Copyright 2018-2020 Amazon.com, Inc. or its affiliates. All Rights Reserved.']"
"@aws-sdk/util-locate-window","git+https://github.com/aws/aws-sdk-js-v3.git","['Apache-2.0']","[' Inc. or its affiliates', 'Copyright 2018-2020 Amazon.com']"
